date,location,gndr,age,employ,student,efl,income,kindphone,agephone,chngphone,provider,attitudepro,frequse,whotext,games,music,socialmed,famuse,phonehelp,buysmt,nobuynw,personalinfo,shop,bank,govform,QU,,
7/26/14,NYCHA,0,3,0,2,0,2,0,0,0,4,2,1,1,1,1,1,1,,0,3,1,1,1,1,,,
8/8/14,Marine Park (King’s Plaza),1,2,1,2,1,2,1,4,1,1,1,1,1,0,1,1,1,3,0,3,0,0,0,0,,,
8/5/14,Dwtn Bklyn (Fulton Mall),1,3,0,2,0,2,1,4,1,5,0,0,1,1,1,1,1,1,1,2,1,0,0,0,,,
7/31/14,Park Slope (Sunset park market),1,3,1,2,0,2,1,4,1,2,0,1,1,1,1,1,1,1,1,0,1,0,1,0,,,
8/4/14,Dwtn Bklyn (City Tech),1,2,1,2,0,2,1,3,1,0,1,1,1,0,0,1,1,1,1,3,0,0,1,0,,,
8/2/14,Bedford Ave,1,3,1,2,0,2,1,3,1,5,0,0,1,1,1,1,1,1,1,2,1,0,1,0,,,
7/31/14,Park Slope (Sunset park market),1,3,1,2,1,2,0,3,1,4,1,1,1,1,1,1,1,1,1,0,0,0,0,0,,,
8/8/14,Marine Park (King’s Plaza),1,3,1,2,0,2,1,3,1,1,0,1,1,1,0,1,1,1,0,0,1,0,1,0,,,
8/8/14,Marine Park (King’s Plaza),1,2,1,2,0,2,1,2,1,5,1,1,1,1,1,1,1,0,0,0,0,0,0,0,,,
8/16/14,Bedford Sty (North BK Welfare),1,2,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,0,1,2,0,0,1,0,,,
7/31/14,Park Slope (Sunset park market),1,4,2,2,0,2,0,2,1,5,1,1,1,1,1,1,1,1,1,0,1,1,1,0,,,
7/25/14,Central Park,1,2,4,0,0,2,1,1,3,0,1,0,1,0,1,1,1,0,1,2,0,0,0,1,,,
8/8/14,Marine Park (King’s Plaza),1,2,2,2,1,2,1,1,1,8,1,1,1,1,1,1,1,1,1,0,1,1,1,0,,,
7/25/14,Central Park,1,3,0,2,0,2,1,1,1,1,0,0,1,1,0,1,1,1,1,2,0,0,0,1,,,
7/18/14,Houston street,1,3,3,2,0,2,0,0,1,4,1,1,1,0,0,1,1,4,0,0,0,0,1,1,,,
7/22/14,SoBro (Simpson/196),1,3,1,2,1,2,1,0,0,3,2,0,1,1,1,1,1,0,0,3,0,0,0,1,,,
,,0,0,4,0,0,3,0,0,0,4,2,2,1,1,1,1,1,,0,0,1,1,1,1,,,
